,week,state,state_name,disease,cases,incidence_per_capita
0,196601,AL,ALABAMA,RUBELLA,7,0.2
1,196601,AZ,ARIZONA,RUBELLA,29,1.8
2,196601,CA,CALIFORNIA,RUBELLA,7,0.04
3,196601,CT,CONNECTICUT,RUBELLA,11,0.38
4,196601,HI,HAWAII,RUBELLA,1,0.14
5,196601,IA,IOWA,RUBELLA,6,0.22
6,196601,ID,IDAHO,RUBELLA,1,0.15
7,196601,IL,ILLINOIS,RUBELLA,17,0.16
8,196601,IN,INDIANA,RUBELLA,21,0.42
9,196601,KY,KENTUCKY,RUBELLA,14,0.44
10,196601,MA,MASSACHUSETTS,RUBELLA,10,0.18
11,196601,MD,MARYLAND,RUBELLA,6,0.16
12,196601,ME,MAINE,RUBELLA,4,0.4
13,196601,MI,MICHIGAN,RUBELLA,25,0.29
14,196601,MN,MINNESOTA,RUBELLA,2,0.06
15,196601,MO,MISSOURI,RUBELLA,1,0.02
16,196601,MT,MONTANA,RUBELLA,11,1.56
17,196601,ND,NORTH DAKOTA,RUBELLA,7,1.08
18,196601,NH,NEW HAMPSHIRE,RUBELLA,9,1.32
19,196601,OR,OREGON,RUBELLA,22,1.12
20,196601,PA,PENNSYLVANIA,RUBELLA,1,0.01
21,196601,RI,RHODE ISLAND,RUBELLA,6,0.67
22,196601,SC,SOUTH CAROLINA,RUBELLA,4,0.16
23,196601,TN,TENNESSEE,RUBELLA,23,0.6
24,196601,VA,VIRGINIA,RUBELLA,3,0.07
25,196601,VT,VERMONT,RUBELLA,2,0.48
26,196601,WA,WASHINGTON,RUBELLA,70,2.29
27,196601,WI,WISCONSIN,RUBELLA,40,0.94
28,196601,WV,WEST VIRGINIA,RUBELLA,23,1.3
29,196601,WY,WYOMING,RUBELLA,1,0.31
30,196602,AL,ALABAMA,RUBELLA,1,0.03
31,196602,AZ,ARIZONA,RUBELLA,53,3.28
32,196602,CA,CALIFORNIA,RUBELLA,43,0.23
33,196602,CO,COLORADO,RUBELLA,2,0.1
34,196602,CT,CONNECTICUT,RUBELLA,30,1.03
35,196602,HI,HAWAII,RUBELLA,4,0.56
36,196602,IA,IOWA,RUBELLA,34,1.23
