,week,state,state_name,disease,cases,incidence_per_capita
0,192801,AL,ALABAMA,SMALLPOX,1,0.04
1,192801,AR,ARKANSAS,SMALLPOX,7,0.38
2,192801,AZ,ARIZONA,SMALLPOX,0,0.0
3,192801,CA,CALIFORNIA,SMALLPOX,18,0.34
4,192801,CO,COLORADO,SMALLPOX,31,3.06
5,192801,CT,CONNECTICUT,SMALLPOX,26,1.65
6,192801,DE,DELAWARE,SMALLPOX,0,0.0
7,192801,FL,FLORIDA,SMALLPOX,1,0.07
8,192801,GA,GEORGIA,SMALLPOX,0,0.0
9,192801,IA,IOWA,SMALLPOX,58,2.37
10,192801,ID,IDAHO,SMALLPOX,4,0.89
11,192801,IL,ILLINOIS,SMALLPOX,30,0.4
12,192801,IN,INDIANA,SMALLPOX,133,4.14
13,192801,KS,KANSAS,SMALLPOX,73,3.95
14,192801,KY,KENTUCKY,SMALLPOX,16,0.62
15,192801,LA,LOUISIANA,SMALLPOX,10,0.48
16,192801,MA,MASSACHUSETTS,SMALLPOX,0,0.0
17,192801,MD,MARYLAND,SMALLPOX,0,0.0
18,192801,ME,MAINE,SMALLPOX,0,0.0
19,192801,MI,MICHIGAN,SMALLPOX,17,0.36
20,192801,MN,MINNESOTA,SMALLPOX,2,0.08
21,192801,MO,MISSOURI,SMALLPOX,38,1.06
22,192801,MS,MISSISSIPPI,SMALLPOX,1,0.05
23,192801,MT,MONTANA,SMALLPOX,36,6.65
24,192801,NC,NORTH CAROLINA,SMALLPOX,63,2.04
25,192801,NE,NEBRASKA,SMALLPOX,12,0.88
26,192801,NJ,NEW JERSEY,SMALLPOX,3,0.08
27,192801,NM,NEW MEXICO,SMALLPOX,1,0.24
28,192801,NY,NEW YORK,SMALLPOX,4,0.03
29,192801,OH,OHIO,SMALLPOX,19,0.29
30,192801,OK,OKLAHOMA,SMALLPOX,108,4.61
31,192801,OR,OREGON,SMALLPOX,32,3.42
32,192801,PA,PENNSYLVANIA,SMALLPOX,1,0.01
33,192801,RI,RHODE ISLAND,SMALLPOX,0,0.0
34,192801,SC,SOUTH CAROLINA,SMALLPOX,19,1.09
35,192801,SD,SOUTH DAKOTA,SMALLPOX,6,0.88
36,192801,TN,TENNESSEE,SMALLPOX,5,0.19
